,Job Role,company Name,location,date
0,data   analyst   intern,Unified Mentor Learning,India (Remote),2024-04-15
1,data     analyst   intern,Unified Mentor Learning,India (Remote),2024-04-15
2,Data Analyst - Python,Om Sai Global HR Service,"Gurgaon, Haryana, India (On-site)",2024-03-17
3,Data Analyst,Super Scholar,"Delhi, India (On-site)",2024-03-22
4,Lead Data Analyst,Randstad Sourceright,"Hyderabad, Telangana, India (Remote)",N/A
5,Reporting & Insights-Analyst,Annalect India,"Gurgaon, Haryana, India (Hybrid)",N/A
6,Lead Data Analyst,CES,India (Remote),N/A
7,Lead Data Analyst,Zupee,"Gurugram, Haryana, India (On-site)",N/A
8,data   analyst   intern,Unified Mentor Learning,India (Remote),2024-04-15
9,data     analyst   intern,Unified Mentor Learning,India (Remote),2024-04-15
10,Data Analyst - Python,Om Sai Global HR Service,"Gurgaon, Haryana, India (On-site)",2024-03-17
11,Data Analyst,Super Scholar,"Delhi, India (On-site)",2024-03-22
12,Lead Data Analyst,Randstad Sourceright,"Hyderabad, Telangana, India (Remote)",N/A
13,Reporting & Insights-Analyst,Annalect India,"Gurgaon, Haryana, India (Hybrid)",N/A
14,Lead Data Analyst,CES,India (Remote),N/A
15,Lead Data Analyst,Zupee,"Gurugram, Haryana, India (On-site)",N/A
16,Analyst/Senior Analyst - Data Analytics,D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
17,Associate/Analyst/Senior Analyst - Primary Research Group,D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
18,Analyst - Management Company Accounting (Accounts Payable),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
19,All Positions in Software Development,D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
20,Analyst - D. E. Shaw Renewable Investments (Asset Management - Technical),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
21,Senior Analyst/Lead Analyst - Primary Research Group,D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
22,Specialist/Senior Specialist - Executive Assistant (DESIS Management),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
23,Analyst/Senior Analyst - Compliance,D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
24,Analyst/Senior Analyst - Fundamental Equities (Industrial),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
25,Manager - Management Reporting (Expense Reporting),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
26,Analyst/Senior Analyst - Credit Opportunities,D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
27,Senior Analyst/Lead Analyst – DESIM,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
28,Senior Analyst/Lead Analyst - Private Credit (CRE Sector Research),D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
29,Analyst - D. E. Shaw Renewable Investments (Treasury & Corporate Finance),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
30,Analyst - Pricing,D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
31,Analyst/Senior Analyst - Private Credit (Corporate Credit),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
32,Senior Analyst - Compliance,D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
33,Senior Analyst/Lead Analyst - Macro (Economist),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
34,Lead Analyst/ Principal Analyst - Private Credit (Corporate Credit),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
35,Manager – HC Infrastructure and Systems – Core Human Capital,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
36,Manager - Global Recruitment Operations (Talent Acquisition),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
37,Lead Analyst/ Principal Analyst - Macro (Equity),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
38,Lead/Program Manager (DESIS Management),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
39,Manager/Senior Manager - Chief of Staff (Human Capital),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (On-site)",2024-04-09
40,Lead Analyst/ Principal Analyst - Private Credit (Corporate Credit),D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
41,Analyst - Pricing,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
42,"Senior Member, Tech or Lead, Tech (Energy)",D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
43,"Senior Member, Program Management (DESIS Management)",D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
44,Analyst/Senior Analyst - Credit Opportunities,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
45,"Senior Member, Tech or Lead, Tech (Energy)",D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
46,Senior Analyst/Manager - DESIM Operations and Client Services,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
47,Manager - Global Recruitment Operations (Talent Acquisition),D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
48,Senior Analyst/Lead Analyst - Private Credit (CRE Sector Research),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
49,Senior Member Technical/Tech Ops (Macro),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
50,Manager - Management Reporting (Expense Reporting),D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
51,Manager - Management Reporting (Expense Reporting),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
52,Analyst/Senior Analyst - Compliance,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
53,Manager/Senior Manager – Performance Management COE – Core Human Capital,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
54,Senior Analyst/Lead Analyst - Macro (Economist),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
55,Senior Analyst - Compliance,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
56,Senior Manager - Office of the OC (DESIS Management),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
57,Analyst/Senior Analyst - D. E. Shaw Renewable Investments (Legal Admin),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
58,"Lead, Product Management (Janus)",D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
59,Lead Analyst/ Principal Analyst - Private Credit (Corporate Credit),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
60,Senior Member Technical/Tech Ops (Macro),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
61,Analyst/Senior Analyst - Private Credit (Corporate Credit),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
62,Senior Member/SDET (QTE),D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
63,"Lead, Tech (ComplyTech)",D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
64,Manager/Senior Manager - Chief of Staff (Human Capital),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (On-site)",2024-04-09
65,Manager - Legal (Legal & Compliance),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
66,Lead Analyst/Principal Analyst/Associate Director - Credit Opportunities,D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
67,Analyst/Senior Analyst - D. E. Shaw Renewable Investments (Engineering Information Management),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (On-site)",2024-04-09
68,Lead Analyst/ Principal Analyst - Macro (Equity),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
69,Senior Specialist - Legal,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
70,"Manager/Senior Manager – Diversity, Equity, and Inclusion - Human Capital",D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
71,Senior Specialist/ Manager - Employee Engagement (Human Capital),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
72,"Senior Member, Tech or Lead, Tech (Energy)",D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
73,Lead Analyst/Principal Analyst/Associate Director - Credit Opportunities,D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
74,Senior Member/SDET (QTE),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
75,Analyst/Senior Analyst - D. E. Shaw Renewable Investments (CAD Design Engineer),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
76,Analyst/Senior Analyst - D. E. Shaw Renewable Investments (Information Management),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
77,"Lead, Tech (ComplyTech)",D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
78,Senior Specialist/Manager - Financial Research Strategy Office (DESIS Management),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
79,Senior Specialist/Manager – Core Human Capital (CHC) Analytics (Human Capital),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
80,Lead Analyst/Principal Analyst/Associate Director - Credit Opportunities,D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
81,Manager - Business Partner (Human Capital),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
82,"Member/Senior Member, Technical Writing",D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (On-site)",2024-04-09
83,Senior Specialist - Business Partner (Human Capital),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
84,"Lead, Tech (ComplyTech)",D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
85,Lead/SDET (QTE),D. E. Shaw India Private Limited,"Bengaluru, Karnataka, India (Hybrid)",2024-04-09
86,Lead/SDET (QTE),D. E. Shaw India Private Limited,"Gurugram, Haryana, India (Hybrid)",2024-04-09
87,Senior Member/SDET (QTE),D. E. Shaw India Private Limited,"Hyderabad, Telangana, India (Hybrid)",2024-04-09
